period_end_date,year,month,revenue,COGS,gross_profit,distribution_costs,administrative_expenses,other_income_and_gains,profit_for_the_period,operating_expenses,operating_income
2021-03-31,2021,3,13793391,10109673,3683718,348610,1257251,163936,1953741,1605861,2077857
2021-06-30,2021,6,16781921,13441706,3340215,367867,1423006,159440,1391393,1790873,1549342
2021-09-30,2021,9,13013255,23965788,6047467,664407,2519369,261806,2472519,3183776,2863691
2021-12-31,2021,12,2743545,34387146,8356399,1054840,3340270,72755,3399698,4395110,3961289
2022-03-31,2022,3,12550438,-10174187,2376251,-347955,-1463385,460652,3011102,-1811340,4187591
2022-06-30,2022,6,20730476,15374560,5355916,726944,1526344,68492,4252636,2253288,3102628
2022-09-30,2022,9,1994058,1598163,1040435,1560815,3276870,202879,6079948,4837685,-3797250
2022-12-31,2022,12,19586955,-15328969,4257986,-985878,-1881749,328400,922039,-2867627,7125613
2023-03-31,2023,3,18518298,-13171748,5346550,-113819,-2928560,235469,1500437,-3042379,8388929
2023-06-30,2023,6,18551212,15084368,3466844,348559,1962193,112676,719991,2310752,1156092
2023-09-30,2023,9,18272973,14039036,4233937,744616,2107915,99899,1143122,2852531,1381406
2023-12-31,2023,12,18041721,14175982,3865739,727667,1911062,111189,916225,2638729,1227010
2024-03-31,2024,3,19076054,-13583528,5492526,-135520,-2211934,496056,2958639,-2347454,7839980
2024-06-30,2024,6,19186326,15665738,3520588,538719,2059343,162709,812512,2598062,922526
2024-09-30,2024,9,21277143,16638143,4639000,525350,2099002,122033,1306732,2624352,2014648
2024-12-31,2024,12,19343267,15514434,3828833,649749,2210547,555151,1157488,2860296,968537
